ids,articulo,organismo_sigla,Total
ANC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANC,0.2
ANCAP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANCAP,52.6
ANEP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANEP,5.9
ANP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANP,3
ASSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ASSE,0
BPS-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BPS,0.9
BROU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BROU,0.2
BSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BSE,0.4
CE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,CE,4.4
Div.Créd.-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,Div.Créd.,0
FGN-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,FGN,0.9
I. Canelones-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Canelones,2.4
I. Colonia-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Colonia,0
I. Flores-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Flores,0.5
I. Maldonado-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Maldonado,0.2
I. Montevideo-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Montevideo,96.1
I. San José-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. San José,0.3
INAU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INAU,0.2
INC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INC,0.1
INISA-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INISA,0
INUMET-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INUMET,0.2
JUTEP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,JUTEP,0
MA-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MA,0.5
MDN-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MDN,1.1
MEC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MEC,2.6
MEF-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MEF,5
MGAP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MGAP,5.7
MI-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MI,3.3
MIDES-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MIDES,3.6
MIEM-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MIEM,0
MRREE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MRREE,1.6
MSP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MSP,1.2
MT-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MT,0.2
MTOP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MTOP,0.7
MTSS-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MTSS,1.4
MVOTMA-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MVOTMA,0
OSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,OSE,15.9
PJ-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,PJ,0.8
Presidencia-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,Presidencia,1.3
URSEC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,URSEC,0.1
UTE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UTE,44.6
UTEC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UTEC,0
UdelaR-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UdelaR,14.1
I. Artigas-MINICARGADORA SOBRE RUEDAS,MINICARGADORA SOBRE RUEDAS,I. Artigas,1.4
I. Rivera-MINICARGADORA SOBRE RUEDAS,MINICARGADORA SOBRE RUEDAS,I. Rivera,735.8
I. Río Negro-MINICARGADORA SOBRE RUEDAS,MINICARGADORA SOBRE RUEDAS,I. Río Negro,0.5
I. Treinta y Tres-MINICARGADORA SOBRE RUEDAS,MINICARGADORA SOBRE RUEDAS,I. Treinta y Tres,1.2
MDN-MINICARGADORA SOBRE RUEDAS,MINICARGADORA SOBRE RUEDAS,MDN,0.5
MTOP-MINICARGADORA SOBRE RUEDAS,MINICARGADORA SOBRE RUEDAS,MTOP,1.2
ANC-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,ANC,0
ANCAP-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,ANCAP,19.7
ANEP-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,ANEP,0
ASSE-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,ASSE,0
FGN-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,FGN,0
MDN-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MDN,0.2
MEC-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MEC,0.1
MEF-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MEF,0.1
MGAP-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MGAP,0.3
MI-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MI,1.2
MT-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MT,0
MTOP-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MTOP,0.1
OSE-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,OSE,2.3
P. Legislativo-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,P. Legislativo,0
ANCAP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANCAP,43.9
ANEP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANEP,0.2
ANP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANP,4.2
ASSE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ASSE,17.2
BCU-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,BCU,0.8
BPS-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,BPS,0
BROU-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,BROU,3.1
FGN-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,FGN,0
I. Colonia-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Colonia,1
I. Flores-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Flores,0
I. Florida-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Florida,0.2
I. Montevideo-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Montevideo,26.1
I. Salto-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Salto,0
I. San José-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. San José,0.4
INUMET-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,INUMET,0
JUTEP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,JUTEP,0
MDN-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MDN,1.3
MEC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MEC,0.7
MEF-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MEF,1.1
MGAP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MGAP,2.5
MI-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MI,0.1
MIDES-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MIDES,5.7
MIEM-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MIEM,0
MSP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MSP,1.2
MT-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MT,1
MTOP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MTOP,1.6
MTSS-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MTSS,0
OSE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,OSE,35.3
PJ-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,PJ,0
Presidencia-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,Presidencia,0.5
URSEC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,URSEC,1
UTE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UTE,55.2
UTEC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UTEC,0
UdelaR-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UdelaR,4.1
ALCOHOL ETILICO EUCALIPTADO (ETANOL),,ALCOHOL ETILICO EUCALIPTADO (ETANOL),0.1
ARRENDAMIENTO DE SALA DE JUEGO,,ARRENDAMIENTO DE SALA DE JUEGO,4.8
DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,,DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0.1
GASOIL COMUN,,GASOIL COMUN,0.2
GESTION DE PROYECTOS TIC,,GESTION DE PROYECTOS TIC,0.4
KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,,KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0.4
LIMPIEZA INTEGRAL DE LOCALES,,LIMPIEZA INTEGRAL DE LOCALES,272.2
MINICARGADORA SOBRE RUEDAS,,MINICARGADORA SOBRE RUEDAS,740.5999999999999
SERVICIO DE MECANICA AUTOMOTRIZ,,SERVICIO DE MECANICA AUTOMOTRIZ,24
SERVICIO DE VIGILANCIA,,SERVICIO DE VIGILANCIA,208.4
