articulo,Total,organismo_sigla
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0.1,ANCAP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,ANEP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,ANP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,ASSE
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,BPS
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,BSE
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,I. Canelones
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,I. Montevideo
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,I. Paysandú
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,I. Treinta y Tres
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,INAU
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,JUTEP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MDN
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MEC
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MGAP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MI
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MIEM
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MSP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MTOP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,P. Legislativo
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,PJ
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,UdelaR
ARRENDAMIENTO DE SALA DE JUEGO,4.8,MEF
DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0.1,ASSE
DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0,BROU
DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0,MA
DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0,MRREE
DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0,MSP
GASOIL COMUN,0.1,ANCAP
GASOIL COMUN,0,ANP
GASOIL COMUN,0,I. Montevideo
GASOIL COMUN,0,MDN
GASOIL COMUN,0.1,P. Legislativo
GESTION DE PROYECTOS TIC,0,ANTEL
GESTION DE PROYECTOS TIC,0.1,BROU
GESTION DE PROYECTOS TIC,0.3,I. Treinta y Tres
KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0.3,ASSE
KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0.1,Div.Créd.
KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0,MDN
KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0,MEF
KIT PARA DETERMINACION DEL VIRUS SARS COV-2 POR PCR EN TIEMPO REAL,0,MI
LIMPIEZA INTEGRAL DE LOCALES,0.2,ANC
LIMPIEZA INTEGRAL DE LOCALES,52.6,ANCAP
LIMPIEZA INTEGRAL DE LOCALES,5.9,ANEP
LIMPIEZA INTEGRAL DE LOCALES,3,ANP
LIMPIEZA INTEGRAL DE LOCALES,0,ASSE
LIMPIEZA INTEGRAL DE LOCALES,0.9,BPS
LIMPIEZA INTEGRAL DE LOCALES,0.2,BROU
LIMPIEZA INTEGRAL DE LOCALES,0.4,BSE
LIMPIEZA INTEGRAL DE LOCALES,4.4,CE
LIMPIEZA INTEGRAL DE LOCALES,0,Div.Créd.
LIMPIEZA INTEGRAL DE LOCALES,0.9,FGN
LIMPIEZA INTEGRAL DE LOCALES,2.4,I. Canelones
LIMPIEZA INTEGRAL DE LOCALES,0,I. Colonia
LIMPIEZA INTEGRAL DE LOCALES,0.5,I. Flores
LIMPIEZA INTEGRAL DE LOCALES,0.2,I. Maldonado
LIMPIEZA INTEGRAL DE LOCALES,96.1,I. Montevideo
LIMPIEZA INTEGRAL DE LOCALES,0.3,I. San José
LIMPIEZA INTEGRAL DE LOCALES,0.2,INAU
LIMPIEZA INTEGRAL DE LOCALES,0.1,INC
LIMPIEZA INTEGRAL DE LOCALES,0,INISA
LIMPIEZA INTEGRAL DE LOCALES,0.2,INUMET
LIMPIEZA INTEGRAL DE LOCALES,0,JUTEP
LIMPIEZA INTEGRAL DE LOCALES,0.5,MA
LIMPIEZA INTEGRAL DE LOCALES,1.1,MDN
LIMPIEZA INTEGRAL DE LOCALES,2.6,MEC
LIMPIEZA INTEGRAL DE LOCALES,5,MEF
LIMPIEZA INTEGRAL DE LOCALES,5.7,MGAP
LIMPIEZA INTEGRAL DE LOCALES,3.3,MI
LIMPIEZA INTEGRAL DE LOCALES,3.6,MIDES
LIMPIEZA INTEGRAL DE LOCALES,0,MIEM
LIMPIEZA INTEGRAL DE LOCALES,1.6,MRREE
LIMPIEZA INTEGRAL DE LOCALES,1.2,MSP
LIMPIEZA INTEGRAL DE LOCALES,0.2,MT
LIMPIEZA INTEGRAL DE LOCALES,0.7,MTOP
LIMPIEZA INTEGRAL DE LOCALES,1.4,MTSS
LIMPIEZA INTEGRAL DE LOCALES,0,MVOTMA
LIMPIEZA INTEGRAL DE LOCALES,15.9,OSE
