denominacion_social,organismo_sigla,total,prop
FRA599815073,"ANCAP
20.65%",13658211173.4998,20.65
CIRCUITO  VIAL TRES S.A  (EN FORMACION),"MTOP
13.24%",8756865024,13.24
CHE201056,"ANCAP
6.02%",3982871976.1,6.02
ALCOHOLES DEL URUGUAY S A,"ANCAP
4.89%",3234664070.384,4.89
TEALOV SOCIEDAD DE RESPONSABILIDAD LIMITADA,"UTE
4.09%",2707888934.5,4.09
CHE201176,"ANCAP
4.07%",2693413473.09,4.07
GBR200745,"ANCAP
1.84%",1215450309.8,1.84
USA742207002,"ANCAP
1.58%",1042802400,1.58
GBR205372,"ANCAP
1.42%",940357538,1.42
MANTEO S A,"MEF
1.39%",919566500,1.39
