denominacion_social,organismo_sigla,total,prop
98937,"I. Montevideo
43.87%",75790008000,43.87
GRUPO VIA CENTRAL SOCIEDAD ANONIMA,"MTOP
28.99%",50075598528,28.99
CHE201056,"ANCAP
2.37%",4100141407,2.37
USA061492962,"ANCAP
1.46%",2518976284.5,1.46
TRADINCO S A,"ANEP
1.35%",2333351690.748883,1.35
PROBERNIL SOCIEDAD ANONIMA,"MGAP
1.25%",2153750843.8254166,1.25
SACEEM,"ANP
0.75%",1288849933.764,0.75
CHE201176,"ANCAP
0.7%",1210325481.38,0.7
CHE205362,"ANCAP
0.64%",1113204228.5,0.64
JULIO CESAR LESTIDO S A,"I. Rivera
0.64%",1101613884.1,0.64
