articulo,Total,organismo_sigla
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0.1,ANCAP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,ANEP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,ASSE
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,BCU
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,BPS
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,I. Paysandú
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,INAU
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,INUMET
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,JUTEP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MDN
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MEC
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MEF
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MGAP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MI
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MIEM
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MSP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,MTOP
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,PJ
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,Presidencia
ALCOHOL ETILICO EUCALIPTADO (ETANOL),0,UdelaR
ARRENDAMIENTO DE LOCAL,0.1,ANC
ARRENDAMIENTO DE LOCAL,0,BROU
ARRENDAMIENTO DE LOCAL,0,I. Canelones
ARRENDAMIENTO DE LOCAL,13.9,MEF
ARRENDAMIENTO DE LOCAL,0.3,UTE
ARRENDAMIENTO DE LOCAL,0,UdelaR
ARRENDAMIENTO DE SALA DE JUEGO,4.6,MEF
CONTRATACION DE MANO DE OBRA,0.3,ANC
CONTRATACION DE MANO DE OBRA,0.3,ANCAP
CONTRATACION DE MANO DE OBRA,3.2,ANP
CONTRATACION DE MANO DE OBRA,0.1,ASSE
CONTRATACION DE MANO DE OBRA,0,BSE
CONTRATACION DE MANO DE OBRA,0,CE
CONTRATACION DE MANO DE OBRA,0.1,Div.Créd.
CONTRATACION DE MANO DE OBRA,0,I. Canelones
CONTRATACION DE MANO DE OBRA,0.1,I. Montevideo
CONTRATACION DE MANO DE OBRA,0,INAU
CONTRATACION DE MANO DE OBRA,0,INC
CONTRATACION DE MANO DE OBRA,0.1,MDN
CONTRATACION DE MANO DE OBRA,0,MEC
CONTRATACION DE MANO DE OBRA,0.2,MGAP
CONTRATACION DE MANO DE OBRA,0.2,MI
CONTRATACION DE MANO DE OBRA,0.3,MRREE
CONTRATACION DE MANO DE OBRA,0,MTOP
CONTRATACION DE MANO DE OBRA,0,MTSS
CONTRATACION DE MANO DE OBRA,53.9,OSE
CONTRATACION DE MANO DE OBRA,0.2,Presidencia
CONTRATACION DE MANO DE OBRA,335.9,UTE
CONTRATACION DE MANO DE OBRA,0.7,UdelaR
ELABORACION DE PROYECTO DE OBRA,442.5,I. Montevideo
ELABORACION DE PROYECTO DE OBRA,1.4,I. Salto
ELABORACION DE PROYECTO DE OBRA,0,MDN
ELABORACION DE PROYECTO DE OBRA,0,MEC
ELABORACION DE PROYECTO DE OBRA,0.1,MI
ELABORACION DE PROYECTO DE OBRA,0.1,MRREE
GASOIL COMUN,1.3,ANC
GASOIL COMUN,0.1,ANCAP
GASOIL COMUN,0,I. Montevideo
LIMPIEZA INTEGRAL DE LOCALES,0,AFE
LIMPIEZA INTEGRAL DE LOCALES,2.3,ANC
LIMPIEZA INTEGRAL DE LOCALES,28.3,ANCAP
LIMPIEZA INTEGRAL DE LOCALES,6.3,ANEP
LIMPIEZA INTEGRAL DE LOCALES,2.5,ANP
LIMPIEZA INTEGRAL DE LOCALES,0.3,ASSE
LIMPIEZA INTEGRAL DE LOCALES,7.4,BPS
LIMPIEZA INTEGRAL DE LOCALES,2,BROU
LIMPIEZA INTEGRAL DE LOCALES,0.1,BSE
LIMPIEZA INTEGRAL DE LOCALES,0.1,Div.Créd.
LIMPIEZA INTEGRAL DE LOCALES,1,FGN
LIMPIEZA INTEGRAL DE LOCALES,1.6,I. Canelones
LIMPIEZA INTEGRAL DE LOCALES,0.1,I. Colonia
LIMPIEZA INTEGRAL DE LOCALES,28.3,I. Montevideo
LIMPIEZA INTEGRAL DE LOCALES,0.3,INAU
LIMPIEZA INTEGRAL DE LOCALES,0.1,INC
LIMPIEZA INTEGRAL DE LOCALES,0,INISA
LIMPIEZA INTEGRAL DE LOCALES,0.2,INUMET
LIMPIEZA INTEGRAL DE LOCALES,0,JUTEP
LIMPIEZA INTEGRAL DE LOCALES,0.5,MDN
LIMPIEZA INTEGRAL DE LOCALES,4.6,MEC
LIMPIEZA INTEGRAL DE LOCALES,5.2,MEF
LIMPIEZA INTEGRAL DE LOCALES,3.3,MGAP
LIMPIEZA INTEGRAL DE LOCALES,4.8,MI
LIMPIEZA INTEGRAL DE LOCALES,4.2,MIDES
LIMPIEZA INTEGRAL DE LOCALES,0,MIEM
LIMPIEZA INTEGRAL DE LOCALES,0.5,MRREE
LIMPIEZA INTEGRAL DE LOCALES,0.2,MSP
LIMPIEZA INTEGRAL DE LOCALES,0.1,MT
