ids,articulo,organismo_sigla,Total
ASSE-ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),ASSE,0.1
INUMET-ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),INUMET,0
MDN-ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),MDN,0
MI-ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),MI,4.6
ANEP-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,ANEP,0
FGN-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,FGN,0
I. Montevideo-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,I. Montevideo,0
INAU-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,INAU,380.1
MDN-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,MDN,0
MEC-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,MEC,0
MEF-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,MEF,0
MVOTMA-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,MVOTMA,0
Presidencia-COMISION POR EMISION DE TICKET,COMISION POR EMISION DE TICKET,Presidencia,0
ANC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANC,2.1
ANEP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANEP,0
ANP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANP,12.9
ASSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ASSE,0
BSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,BSE,0
I. Canelones-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,I. Canelones,0.2
I. Salto-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,I. Salto,3.7
INAU-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,INAU,0
MDN-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MDN,1.4
MEC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MEC,0
MEF-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MEF,0.4
MGAP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MGAP,1
MI-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MI,0.5
MIDES-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MIDES,0.6
MRREE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MRREE,0.2
MSP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MSP,0.1
MTOP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MTOP,0
MTSS-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MTSS,0
OSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,OSE,143.4
Presidencia-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,Presidencia,0.1
UTE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,UTE,161.9
ANC-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,ANC,7.6
ANEP-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,ANEP,18.2
ANV-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,ANV,2.6
ASSE-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,ASSE,0.2
BCU-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,BCU,0
BHU-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,BHU,0
BSE-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,BSE,0.1
Div.Créd.-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,Div.Créd.,0.1
FGN-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,FGN,0
I. Canelones-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,I. Canelones,0.2
I. Maldonado-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,I. Maldonado,1.5
I. Montevideo-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,I. Montevideo,0.2
I. Tacuarembó-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,I. Tacuarembó,0
INAU-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,INAU,0.3
MEF-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,MEF,0.4
MIDES-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,MIDES,0.5
MSP-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,MSP,0.1
MVOTMA-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,MVOTMA,0.1
PJ-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,PJ,10.1
Presidencia-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,Presidencia,0.2
UTE-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,UTE,19.8
UTEC-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,UTEC,0
UdelaR-CONTRATACION DE SERVICIOS PROFESIONALES,CONTRATACION DE SERVICIOS PROFESIONALES,UdelaR,0.2
