ids,articulo,organismo_sigla,Total
ANEP-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,ANEP,0
BROU-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,BROU,0.1
I. Canelones-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,I. Canelones,0.1
INAU-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,INAU,0
MEF-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,MEF,209.9
I. Rivera-CAMION DOBLE CABINA,CAMION DOBLE CABINA,I. Rivera,1084.6
I. Río Negro-CAMION DOBLE CABINA,CAMION DOBLE CABINA,I. Río Negro,0.3
I. Salto-CAMION DOBLE CABINA,CAMION DOBLE CABINA,I. Salto,0.3
UTE-CAMION DOBLE CABINA,CAMION DOBLE CABINA,UTE,1.2
I. Montevideo-CONTENEDOR METALICO PARA RESIDUOS - NORMA UNIT 10571,CONTENEDOR METALICO PARA RESIDUOS - NORMA UNIT 10571,I. Montevideo,37.9
ANC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANC,5.5
ANCAP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANCAP,0.1
ANP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANP,281.7
ASSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ASSE,0.1
BPS-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,BPS,0
BSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,BSE,0
I. Canelones-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,I. Canelones,0.3
INAU-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,INAU,0
MDN-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MDN,0
MEC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MEC,0
MEF-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MEF,0
MGAP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MGAP,0.5
MI-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MI,0.4
MRREE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MRREE,0.8
MT-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MT,0
MTOP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MTOP,1.5
MTSS-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MTSS,0
OSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,OSE,94
PJ-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,PJ,0
Presidencia-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,Presidencia,0.4
UTE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,UTE,273.6
UTEC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,UTEC,0.1
UdelaR-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,UdelaR,0.5
"ANEP-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",ANEP,0
"ASSE-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",ASSE,0
"BPS-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",BPS,5.4
"INAU-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",INAU,0.6
"MDN-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",MDN,0
