ids,articulo,organismo_sigla,Total
ANCAP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),ANCAP,0.1
ANEP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),ANEP,0
ASSE-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),ASSE,0
BCU-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),BCU,0
BPS-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),BPS,0
I. Paysandú-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),I. Paysandú,0
INAU-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),INAU,0
INUMET-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),INUMET,0
JUTEP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),JUTEP,0
MDN-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MDN,0
MEC-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MEC,0
MEF-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MEF,0
MGAP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MGAP,0
MI-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MI,0
MIEM-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MIEM,0
MSP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MSP,0
MTOP-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),MTOP,0
PJ-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),PJ,0
Presidencia-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),Presidencia,0
UdelaR-ALCOHOL ETILICO EUCALIPTADO (ETANOL),ALCOHOL ETILICO EUCALIPTADO (ETANOL),UdelaR,0
ANC-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,ANC,0.1
BROU-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,BROU,0
I. Canelones-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,I. Canelones,0
MEF-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,MEF,13.9
UTE-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,UTE,0.3
UdelaR-ARRENDAMIENTO DE LOCAL,ARRENDAMIENTO DE LOCAL,UdelaR,0
MEF-ARRENDAMIENTO DE SALA DE JUEGO,ARRENDAMIENTO DE SALA DE JUEGO,MEF,4.6
ANC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANC,0.3
ANCAP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANCAP,0.3
ANP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANP,3.2
ASSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ASSE,0.1
BSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,BSE,0
CE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,CE,0
Div.Créd.-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,Div.Créd.,0.1
I. Canelones-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,I. Canelones,0
I. Montevideo-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,I. Montevideo,0.1
INAU-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,INAU,0
INC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,INC,0
MDN-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MDN,0.1
MEC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MEC,0
MGAP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MGAP,0.2
MI-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MI,0.2
MRREE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MRREE,0.3
MTOP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MTOP,0
MTSS-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MTSS,0
OSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,OSE,53.9
Presidencia-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,Presidencia,0.2
UTE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,UTE,335.9
UdelaR-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,UdelaR,0.7
